Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,AVG
Jeter Downs,24,1013,Maj-NL,Washington,6,9,5,4,2,0,0,0,1,4,0,1,0,0,0,0,2,0,0.4,0.667,0.4,1.067,669023,0.4
Brenton Doyle,25,970,Maj-NL,Colorado,126,431,399,48,81,16,5,10,48,22,0,151,4,3,3,9,22,5,0.203,0.25,0.343,0.593,686668,0.203
Hunter Dozier,31,1105,Maj-AL,Kansas City,29,91,82,8,15,2,1,2,9,8,0,29,0,0,1,0,2,0,0.183,0.253,0.305,0.558,641531,0.183
Brandon Drury,30,970,Maj-AL,Los Angeles,125,523,485,61,127,30,3,26,83,25,0,136,8,0,5,14,0,2,0.262,0.306,0.497,0.803,592273,0.262
Mauricio Dub\xc3\xb3n,28,949,Maj-AL,Houston,138,518,492,79,138,26,3,10,48,19,0,74,3,0,4,10,7,2,0.28,0.309,0.407,0.715,643289,0.28
Matt Duffy,32,970,Maj-AL,Kansas City,78,209,191,17,48,8,0,2,16,12,0,39,4,0,2,4,1,0,0.251,0.306,0.325,0.631,622110,0.251
Ezequiel Duran,24,972,Maj-AL,Texas,122,439,406,55,112,22,2,14,46,23,1,120,7,1,2,7,8,4,0.276,0.324,0.443,0.768,677649,0.276
Jarren Duran,26,1012,Maj-AL,Boston,101,362,332,46,98,34,2,8,40,24,1,90,3,0,2,3,24,2,0.295,0.346,0.482,0.828,680776,0.295
Adam Duvall,34,971,Maj-AL,Boston,92,353,320,45,79,24,2,21,58,22,1,110,6,0,5,0,4,0,0.247,0.303,0.531,0.834,594807,0.247
Nate Eaton,26,1070,Maj-AL,Kansas City,28,56,53,2,4,0,0,0,1,2,0,21,1,0,0,0,3,0,0.075,0.125,0.075,0.2,681987,0.075
Cam Eden,25,970,Maj-AL,Toronto,5,6,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.167,0.167,0.167,0.333,686490,0.167
Tommy Edman,28,970,Maj-NL,St. Louis,137,528,479,69,119,25,4,13,47,35,1,84,7,3,4,9,27,4,0.248,0.307,0.399,0.705,669242,0.248
Xavier Edwards,23,967,Maj-NL,Miami,31,85,79,13,24,3,0,0,3,3,0,14,1,2,0,1,5,0,0.304,0.337,0.342,0.679,669364,0.304
Drew Ellis,27,1047,Maj-NL,Philadelphia,12,29,23,4,5,0,0,2,4,6,0,7,0,0,0,0,0,1,0.217,0.379,0.478,0.858,656403,0.217
Christian Encarnacion-Strand,23,970,Maj-NL,Cincinnati,63,241,222,29,60,7,0,13,37,14,0,69,5,0,0,5,2,0,0.27,0.328,0.477,0.805,687952,0.27
Adam Engel,31,1105,Maj-NL,San Diego,5,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,641553,0.0
Eduardo Escobar,34,970,"Maj-AL,Maj-NL","Los Angeles,New York",99,309,288,32,65,6,5,6,31,18,0,78,0,1,2,7,2,1,0.226,0.269,0.344,0.613,500871,0.226
Santiago Espinal,28,967,Maj-AL,Toronto,94,256,232,30,59,14,0,2,25,18,1,36,3,2,1,5,2,1,0.254,0.315,0.341,0.655,669289,0.254
Thairo Estrada,27,970,Maj-NL,San Francisco,120,530,495,63,134,26,2,14,49,22,1,120,11,0,2,10,23,7,0.271,0.315,0.416,0.731,642731,0.271
Stuart Fairchild,27,970,Maj-NL,Cincinnati,97,255,219,34,50,16,2,5,28,25,0,69,6,3,2,2,10,3,0.228,0.321,0.388,0.71,656413,0.228
Kyle Farmer,32,963,Maj-AL,Minnesota,122,373,340,50,87,14,2,12,48,23,0,88,8,0,2,7,2,4,0.256,0.316,0.415,0.731,571657,0.256
Freddy Fermin,28,993,Maj-AL,Kansas City,70,235,217,26,61,10,1,9,32,13,0,50,1,1,3,11,0,0,0.281,0.321,0.461,0.781,666023,0.281
Jos\xc3\xa9 Ferm\xc3\xadn,24,970,Maj-NL,St. Louis,21,61,51,2,12,1,0,0,4,6,0,8,2,2,0,1,0,1,0.235,0.339,0.255,0.594,665877,0.235
Tyler Fitzgerald,25,970,Maj-NL,San Francisco,10,34,32,3,7,2,0,2,5,2,0,10,0,0,0,0,2,0,0.219,0.265,0.469,0.733,666149,0.219
David Fletcher,29,970,Maj-AL,Los Angeles,33,97,89,7,22,1,0,2,12,7,1,9,0,1,0,2,0,0,0.247,0.302,0.326,0.628,664058,0.247
Dominic Fletcher,25,1057,Maj-NL,Arizona,28,102,93,10,28,5,1,2,14,7,1,22,0,2,0,0,0,2,0.301,0.35,0.441,0.791,666150,0.301
Wilmer Flores,31,971,Maj-NL,San Francisco,126,454,405,51,115,22,0,23,60,41,1,63,5,0,3,13,0,0,0.284,0.355,0.509,0.863,527038,0.284
Estevan Florial,25,970,Maj-AL,New York,19,71,61,5,14,3,1,0,8,7,0,20,2,0,1,0,3,0,0.23,0.324,0.311,0.635,664314,0.23
Mike Ford,30,970,Maj-AL,Seattle,83,251,219,32,50,6,0,16,34,24,0,81,7,0,1,4,0,0,0.228,0.323,0.475,0.798,645801,0.228
Nick Fortes,26,968,Maj-NL,Miami,109,325,296,33,60,10,0,6,26,17,0,60,7,3,2,13,4,2,0.203,0.261,0.297,0.558,663743,0.203
Jake Fraley,28,974,Maj-NL,Cincinnati,111,380,336,41,86,18,0,15,65,37,2,71,6,0,1,5,21,5,0.256,0.339,0.443,0.783,641584,0.256
Ty France,28,970,Maj-AL,Seattle,158,665,587,79,147,32,0,12,58,43,0,117,34,0,1,25,1,0,0.25,0.337,0.366,0.703,664034,0.25
Wander Franco,22,1020,Maj-AL,Tampa Bay,112,491,442,65,124,23,6,17,58,42,3,69,3,0,4,18,30,10,0.281,0.344,0.475,0.819,677551,0.281
Adam Frazier,31,961,Maj-AL,Baltimore,143,460,417,59,99,21,2,13,60,32,0,68,4,4,2,4,11,4,0.237,0.297,0.391,0.688,624428,0.237
Clint Frazier,28,1061,Maj-AL,Chicago,33,76,66,10,13,1,1,0,3,10,0,23,0,0,0,0,4,2,0.197,0.303,0.242,0.545,640449,0.197
Freddie Freeman,33,960,Maj-NL,Los Angeles,164,742,647,132,212,59,2,29,102,74,12,123,16,0,5,15,23,1,0.328,0.407,0.56,0.967,518692,0.328
Tyler Freeman,24,970,Maj-AL,Cleveland,64,168,153,20,37,7,0,4,18,10,0,30,2,2,1,3,5,0,0.242,0.295,0.366,0.661,671289,0.242
Sal Frelick,23,967,Maj-NL,Milwaukee,59,232,199,29,49,9,1,3,25,28,0,40,1,0,4,3,7,0,0.246,0.336,0.347,0.683,686217,0.246
TJ Friedl,27,971,Maj-NL,Cincinnati,138,556,488,73,136,22,8,18,66,47,1,90,10,8,3,0,27,6,0.279,0.352,0.467,0.819,670770,0.279
David Fry,27,977,Maj-AL,Cleveland,57,113,101,12,24,6,0,4,15,8,0,30,4,0,0,3,2,0,0.238,0.319,0.416,0.734,681807,0.238
Michael Fulmer,30,1060,Maj-NL,Chicago,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605242,0.0
Cam Gallagher,30,971,Maj-AL,Cleveland,56,149,143,6,18,6,0,0,7,4,0,46,1,0,1,3,0,0,0.126,0.154,0.168,0.322,595956,0.126
Joey Gallo,29,996,Maj-AL,Minnesota,111,332,282,39,50,9,1,21,40,48,1,142,2,0,0,3,1,1,0.177,0.301,0.44,0.741,608336,0.177
Ben Gamel,31,1002,Maj-NL,San Diego,6,15,15,2,3,1,0,0,2,0,0,2,0,0,0,0,0,0,0.2,0.2,0.267,0.467,592325,0.2
Adolis Garc\xc3\xada,30,941,Maj-AL,Texas,163,700,617,119,156,30,0,47,129,68,0,193,9,0,6,12,11,1,0.253,0.333,0.53,0.863,666969,0.253
Avisa\xc3\xadl Garc\xc3\xada,32,1010,Maj-NL,Miami,37,118,108,8,20,3,1,3,12,6,1,39,2,0,0,1,2,0,0.185,0.241,0.315,0.556,541645,0.185
Luis Garc\xc3\xada Jr.,23,970,Maj-NL,Washington,122,482,447,61,119,18,4,9,50,27,1,60,0,1,7,10,9,4,0.266,0.304,0.385,0.688,671277,0.266
Maikel Garcia,23,970,Maj-AL,Kansas City,123,515,464,59,126,20,4,4,50,38,0,115,2,1,10,9,23,7,0.272,0.323,0.358,0.681,672580,0.272
Kyle Garlick,31,1084,Maj-AL,Minnesota,14,30,28,2,5,1,0,2,4,2,0,11,0,0,0,0,0,0,0.179,0.233,0.429,0.662,664247,0.179
Stone Garrett,27,1009,Maj-NL,Washington,89,271,234,40,63,17,0,9,40,26,0,82,3,0,5,6,3,1,0.269,0.343,0.457,0.801,656448,0.269
Mitch Garver,32,939,Maj-AL,Texas,101,404,349,53,92,13,0,22,64,50,2,94,4,0,0,12,0,0,0.264,0.362,0.49,0.852,641598,0.264
Zack Gelof,23,970,Maj-AL,Oakland,69,300,270,40,72,20,1,14,32,26,1,82,3,0,1,5,14,2,0.267,0.337,0.504,0.84,680869,0.267
Andr\xc3\xa9s Gim\xc3\xa9nez,24,971,Maj-AL,Cleveland,153,616,557,76,140,27,5,15,62,32,3,112,20,4,3,10,30,6,0.251,0.314,0.399,0.712,665926,0.251
Paul Goldschmidt,35,971,Maj-NL,St. Louis,154,687,593,89,159,31,0,25,80,87,6,161,3,0,3,12,11,2,0.268,0.363,0.447,0.81,502671,0.268
Yan Gomes,35,971,Maj-NL,Chicago,116,419,382,44,102,20,2,10,63,21,1,81,9,0,7,9,1,0,0.267,0.315,0.408,0.723,543228,0.267
Nick Gonzales,24,970,Maj-NL,Pittsburgh,35,128,115,12,24,8,1,2,13,6,0,36,4,1,2,0,0,1,0.209,0.268,0.348,0.616,693304,0.209
Oscar Gonz\xc3\xa1lez,25,970,Maj-AL,Cleveland,54,180,173,15,37,7,2,2,12,5,0,46,1,0,1,2,0,0,0.214,0.239,0.312,0.551,660757,0.214
Romy Gonzalez,26,1076,Maj-AL,Chicago,44,97,93,11,18,4,2,3,14,2,0,36,0,1,1,0,7,0,0.194,0.208,0.376,0.585,663853,0.194
Hunter Goodman,23,971,Maj-NL,Colorado,23,77,70,6,14,4,3,1,17,5,0,24,0,0,2,2,1,0,0.2,0.247,0.386,0.632,696100,0.2
Nick Gordon,27,1107,Maj-AL,Minnesota,34,93,91,13,16,5,1,2,7,1,0,11,0,1,0,1,0,0,0.176,0.185,0.319,0.503,624503,0.176
Nolan Gorman,23,989,Maj-NL,St. Louis,119,464,406,59,96,17,0,27,76,53,1,148,3,0,2,5,7,2,0.236,0.328,0.478,0.805,669357,0.236
Yasmani Grandal,34,970,Maj-AL,Chicago,118,405,363,33,85,14,0,8,33,36,1,86,4,0,2,11,0,0,0.234,0.309,0.339,0.647,518735,0.234
Tristan Gray,27,984,Maj-AL,Tampa Bay,2,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4,0.4,1.0,1.4,656484,0.4
Riley Greene,22,1000,Maj-AL,Detroit,99,416,378,51,109,19,4,11,37,35,0,114,1,0,2,7,7,0,0.288,0.349,0.447,0.796,682985,0.288
Randal Grichuk,31,970,"Maj-AL,Maj-NL","Colorado,Los Angeles",118,471,434,65,116,31,2,16,44,29,2,96,6,0,2,11,2,2,0.267,0.321,0.459,0.779,545341,0.267
Trent Grisham,26,970,Maj-NL,San Diego,153,555,469,67,93,31,1,13,50,75,0,154,5,4,1,7,15,3,0.198,0.315,0.352,0.666,663757,0.198
Vaughn Grissom,22,959,Maj-NL,Atlanta,24,81,76,5,21,3,1,0,9,2,0,16,2,0,1,2,0,1,0.276,0.309,0.342,0.651,687093,0.276
Robbie Grossman,33,943,Maj-AL,Texas,121,440,372,57,86,24,1,10,49,58,0,108,2,0,8,8,1,0,0.231,0.332,0.382,0.714,543257,0.231
Vladimir Guerrero Jr.,24,967,Maj-AL,Toronto,158,690,609,78,160,31,0,26,94,68,5,100,9,0,4,23,5,3,0.263,0.343,0.442,0.785,665489,0.263
Luis Guillorme,28,971,Maj-NL,New York,54,120,107,12,24,6,1,1,9,10,1,28,0,2,1,4,0,0,0.224,0.288,0.327,0.615,641645,0.224
Lourdes Gurriel Jr.,29,939,Maj-NL,Arizona,162,662,617,70,162,38,2,27,93,35,2,116,6,1,3,23,7,0,0.263,0.307,0.462,0.769,666971,0.263
Yuli Gurriel,39,968,Maj-NL,Miami,109,330,299,32,73,16,3,4,27,26,3,45,1,0,4,13,4,0,0.244,0.303,0.358,0.661,493329,0.244
Dalton Guthrie,27,1080,Maj-NL,Philadelphia,23,28,24,4,4,1,0,0,0,3,0,7,1,0,0,0,0,0,0.167,0.286,0.208,0.494,656495,0.167
Eric Haase,30,1002,Maj-AL,"Cleveland,Detroit",89,293,274,22,55,8,1,4,26,17,1,81,0,1,1,11,4,1,0.201,0.247,0.281,0.528,606992,0.201
Sam Haggerty,29,971,Maj-AL,Seattle,52,108,91,13,23,3,1,1,5,15,0,17,1,1,0,0,10,1,0.253,0.364,0.341,0.705,664059,0.253
Darick Hall,27,1043,Maj-NL,Philadelphia,18,56,54,2,9,1,0,1,3,2,0,18,0,0,0,2,0,0,0.167,0.196,0.241,0.437,669742,0.167
Billy Hamilton,32,1120,Maj-AL,Chicago,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0,0.0,571740,0.0
Caleb Hamilton,28,1062,Maj-AL,Boston,4,6,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0.167,0.0,0.167,643348,0.0
David Hamilton,25,1003,Maj-AL,Boston,15,39,33,2,4,2,0,0,0,6,0,10,0,0,0,1,2,1,0.121,0.256,0.182,0.438,666152,0.121
Garrett Hampson,28,968,Maj-NL,Miami,99,253,222,30,61,12,1,3,23,23,0,67,3,3,2,3,5,0,0.275,0.348,0.378,0.726,641658,0.275
