Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,AVG
Christian Arroyo,25,2070,Maj-AL,"Boston,Cleveland",15,54,50,7,12,1,0,3,8,4,0,11,0,0,0,2,0,0,0.24,0.296,0.44,0.736,624414,0.24
Willians Astudillo,28,2079,Maj-AL,Minnesota,8,16,16,4,4,1,0,1,3,0,0,2,0,0,0,0,0,0,0.25,0.25,0.5,0.75,553902,0.25
Alex Avila,33,2069,Maj-AL,Minnesota,23,62,49,6,9,2,0,1,2,11,0,22,2,0,0,2,0,0,0.184,0.355,0.286,0.641,488671,0.184
Harrison Bader,26,2069,Maj-NL,St. Louis,50,125,106,21,24,7,2,4,11,13,0,40,5,0,1,2,3,1,0.226,0.336,0.443,0.779,664056,0.226
Javier B\xc3\xa1ez,27,2069,Maj-NL,Chicago,59,235,222,27,45,9,1,8,24,7,0,75,4,0,2,8,3,0,0.203,0.238,0.36,0.599,595879,0.203
Austin Barnes,30,2069,Maj-NL,Los Angeles,29,104,86,14,21,3,0,1,9,13,0,24,2,2,1,0,3,0,0.244,0.353,0.314,0.667,605131,0.244
Tucker Barnhart,29,2069,Maj-NL,Cincinnati,38,110,98,10,20,3,0,5,13,12,0,28,0,0,0,2,0,0,0.204,0.291,0.388,0.679,571466,0.204
Jose Barrero,22,2069,Maj-NL,Cincinnati,24,68,67,4,13,0,0,0,2,1,0,26,0,0,0,1,1,1,0.194,0.206,0.194,0.4,676480,0.194
Franklin Barreto,24,2090,Maj-AL,"Los Angeles,Oakland",21,28,27,5,2,0,0,0,2,0,0,15,1,0,0,0,1,0,0.074,0.107,0.074,0.181,620439,0.074
Joey Bart,23,2069,Maj-NL,San Francisco,33,111,103,15,24,5,2,0,7,3,0,41,5,0,0,1,0,0,0.233,0.288,0.32,0.609,663698,0.233
Luis Alexander Basabe,23,2074,Maj-NL,San Francisco,9,18,14,5,2,0,0,0,1,4,0,5,0,0,0,0,2,0,0.143,0.333,0.143,0.476,642772,0.143
Matt Beaty,27,2090,Maj-NL,Los Angeles,21,54,50,8,11,1,0,2,5,2,0,14,2,0,0,3,0,0,0.22,0.278,0.36,0.638,607461,0.22
Josh Bell,27,2069,Maj-NL,Pittsburgh,57,223,195,22,44,3,0,8,22,22,4,59,2,0,4,3,0,0,0.226,0.305,0.364,0.669,605137,0.226
Cody Bellinger,24,2070,Maj-NL,Los Angeles,56,243,213,33,51,10,0,12,30,30,2,42,0,0,0,4,6,0,0.239,0.333,0.455,0.789,641355,0.239
Brandon Belt,32,2069,Maj-NL,San Francisco,51,179,149,25,46,13,1,9,30,30,1,36,0,0,0,5,0,0,0.309,0.425,0.591,1.015,474832,0.309
Anthony Bemboom,30,2069,Maj-AL,Los Angeles,21,60,48,9,10,1,0,3,5,7,0,13,2,2,1,0,0,1,0.208,0.328,0.417,0.744,621532,0.208
Andrew Benintendi,25,2116,Maj-AL,Boston,14,52,39,4,4,1,0,0,1,11,0,17,1,1,0,1,1,1,0.103,0.314,0.128,0.442,643217,0.103
Jon Berti,30,2069,Maj-NL,Miami,39,149,120,21,31,5,0,2,14,23,0,37,3,2,1,1,9,2,0.258,0.388,0.35,0.738,542932,0.258
Mookie Betts,27,2070,Maj-NL,Los Angeles,55,246,219,47,64,9,1,16,39,24,1,38,2,0,1,2,10,1,0.292,0.366,0.562,0.927,605141,0.292
Bo Bichette,22,2069,Maj-AL,Toronto,29,128,123,18,37,9,1,5,23,5,1,27,0,0,0,2,4,0,0.301,0.328,0.512,0.84,666182,0.301
Cavan Biggio,25,2069,Maj-AL,Toronto,59,265,220,41,55,16,0,8,28,41,0,61,3,0,0,2,6,0,0.25,0.375,0.432,0.807,624415,0.25
Braden Bishop,26,2069,Maj-AL,Seattle,12,34,30,2,5,2,0,0,4,2,0,10,1,1,0,0,1,0,0.167,0.242,0.233,0.476,623323,0.167
Charlie Blackmon,33,2069,Maj-NL,Colorado,59,247,221,31,67,12,1,6,42,19,4,44,2,0,5,4,2,1,0.303,0.356,0.448,0.804,453568,0.303
Travis Blankenhorn,23,2081,Maj-AL,Minnesota,1,4,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.333,0.5,0.667,1.167,663905,0.333
Xander Bogaerts,27,2069,Maj-AL,Boston,56,225,203,36,61,8,0,11,28,21,2,41,0,0,1,3,8,0,0.3,0.364,0.502,0.867,593428,0.3
Alec Bohm,23,2069,Maj-NL,Philadelphia,44,180,160,24,54,11,0,4,23,16,0,36,2,0,2,4,1,1,0.338,0.4,0.481,0.881,664761,0.338
Emilio Bonif\xc3\xa1cio,35,2129,Maj-NL,Washington,3,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,466988,0.0
Jorge Bonifacio,27,2069,Maj-AL,Detroit,30,94,86,8,19,3,0,2,17,5,0,26,2,0,1,1,0,0,0.221,0.277,0.326,0.602,593528,0.221
David Bote,27,2069,Maj-NL,Chicago,45,145,125,15,25,3,1,7,29,17,0,40,2,0,1,6,2,0,0.2,0.303,0.408,0.711,623520,0.2
Jackie Bradley Jr.,30,2069,Maj-AL,Boston,55,217,191,32,54,11,0,7,22,23,1,48,2,0,1,2,5,1,0.283,0.364,0.45,0.814,598265,0.283
Michael Brantley,33,2069,Maj-AL,Houston,46,187,170,24,51,15,0,5,22,17,0,28,0,0,0,3,2,0,0.3,0.364,0.476,0.84,488726,0.3
Rob Brantly,30,2134,Maj-NL,San Francisco,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,542963,0.0
Ryan Braun,36,2069,Maj-NL,Milwaukee,39,141,129,14,30,7,1,8,26,7,0,27,2,0,1,6,1,0,0.233,0.281,0.488,0.769,460075,0.233
Alex Bregman,26,2069,Maj-AL,Houston,42,180,153,19,37,12,1,6,22,24,1,26,2,0,1,2,0,0,0.242,0.35,0.451,0.801,608324,0.242
Jos\xc3\xa9 Brice\xc3\xb1o,27,2091,Maj-AL,Los Angeles,2,6,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2,0.333,0.2,0.533,593993,0.2
Lewis Brinson,26,2069,Maj-NL,Miami,46,112,106,14,24,6,0,3,12,6,0,30,0,0,0,2,4,0,0.226,0.268,0.368,0.636,621446,0.226
Mike Brosseau,26,2069,Maj-AL,Tampa Bay,36,98,86,12,26,5,1,5,12,8,0,31,3,0,1,1,2,0,0.302,0.378,0.558,0.936,670712,0.302
Seth Brown,27,2082,Maj-AL,Oakland,7,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,664913,0.0
Jay Bruce,33,2069,Maj-NL,Philadelphia,32,103,96,11,19,4,2,6,14,7,1,24,0,0,0,1,0,0,0.198,0.252,0.469,0.721,457803,0.198
Kris Bryant,28,2069,Maj-NL,Chicago,34,147,131,20,27,5,1,4,11,12,0,40,4,0,0,1,0,0,0.206,0.293,0.351,0.644,592178,0.206
Drew Butera,36,2069,Maj-NL,Colorado,28,43,39,4,6,2,0,0,4,2,0,11,0,1,1,3,0,0,0.154,0.19,0.205,0.396,460077,0.154
Byron Buxton,26,2071,Maj-AL,Minnesota,39,135,130,19,33,3,0,13,27,2,0,36,1,0,2,2,2,1,0.254,0.267,0.577,0.844,621439,0.254
Asdr\xc3\xbabal Cabrera,34,2073,Maj-NL,Washington,52,213,190,23,46,9,3,8,31,19,0,40,0,0,4,6,0,0,0.242,0.305,0.447,0.753,452678,0.242
Miguel Cabrera,37,2070,Maj-AL,Detroit,57,231,204,28,51,4,0,10,35,24,1,51,1,0,2,3,1,0,0.25,0.329,0.417,0.746,408234,0.25
Lorenzo Cain,34,2130,Maj-NL,Milwaukee,5,21,18,4,6,1,0,0,2,3,1,2,0,0,0,1,0,0,0.333,0.429,0.389,0.817,456715,0.333
Kole Calhoun,32,2069,Maj-NL,Arizona,54,228,190,35,43,9,0,16,40,28,0,50,6,0,4,6,1,1,0.226,0.338,0.526,0.864,594777,0.226
Willie Calhoun,25,2069,Maj-AL,Texas,29,108,100,3,19,2,1,1,13,5,0,17,1,0,2,1,0,0,0.19,0.231,0.26,0.491,641432,0.19
Johan Camargo,26,2091,Maj-NL,Atlanta,35,127,120,16,24,8,0,4,9,6,0,35,1,0,0,1,0,0,0.2,0.244,0.367,0.611,622666,0.2
Daz Cameron,23,2069,Maj-AL,Detroit,17,59,57,4,11,2,1,0,3,2,0,19,0,0,0,1,1,0,0.193,0.22,0.263,0.483,663662,0.193
Luis Campusano,21,2092,Maj-NL,San Diego,1,4,3,2,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0.333,0.5,1.333,1.833,669134,0.333
Jeimer Candelario,26,2072,Maj-AL,Detroit,52,206,185,30,55,11,3,7,29,20,0,49,1,0,0,3,1,1,0.297,0.369,0.503,0.872,600869,0.297
Mark Canha,31,2069,Maj-AL,Oakland,59,243,191,32,47,12,2,5,33,37,1,54,10,0,5,2,4,0,0.246,0.387,0.408,0.795,592192,0.246
Robinson Can\xc3\xb3,37,2069,Maj-NL,New York,49,182,171,23,54,9,0,10,30,9,1,24,1,0,1,7,0,0,0.316,0.352,0.544,0.896,429664,0.316
Victor Caratini,26,2069,Maj-NL,Chicago,44,132,116,10,28,7,0,1,16,12,1,31,4,0,0,4,0,1,0.241,0.333,0.328,0.661,605170,0.241
Dylan Carlson,21,2069,Maj-NL,St. Louis,35,119,110,11,22,7,1,3,16,8,0,35,0,0,1,3,1,1,0.2,0.252,0.364,0.616,666185,0.2
Matt Carpenter,34,2070,Maj-NL,St. Louis,50,169,140,22,26,6,0,4,24,23,1,48,6,0,0,1,0,0,0.186,0.325,0.314,0.64,572761,0.186
Curt Casali,31,2069,Maj-NL,Cincinnati,31,93,76,10,17,3,0,6,8,14,0,29,3,0,0,2,1,0,0.224,0.366,0.5,0.866,592200,0.224
Nick Castellanos,28,2069,Maj-NL,Cincinnati,60,242,218,37,49,11,2,14,34,19,1,69,4,0,1,5,0,2,0.225,0.298,0.486,0.784,592206,0.225
Harold Castro,26,2070,Maj-AL,Detroit,22,54,49,6,17,4,0,0,3,5,0,11,0,0,0,1,0,0,0.347,0.407,0.429,0.836,605612,0.347
Jason Castro,33,2069,"Maj-AL,Maj-NL","Los Angeles,San Diego",27,92,80,8,15,9,0,2,9,12,0,33,0,0,0,2,0,0,0.188,0.293,0.375,0.668,488771,0.188
Starlin Castro,30,2114,Maj-NL,Washington,16,63,60,9,16,3,1,2,4,3,0,13,0,0,0,0,0,0,0.267,0.302,0.45,0.752,516770,0.267
Willi Castro,23,2070,Maj-AL,Detroit,36,140,129,21,45,4,2,6,24,7,0,38,1,1,2,0,0,1,0.349,0.381,0.55,0.932,650489,0.349
Jake Cave,27,2069,Maj-AL,Minnesota,42,123,113,17,25,3,2,4,15,5,0,44,5,0,0,0,0,2,0.221,0.285,0.389,0.674,595909,0.221
Francisco Cervelli,34,2105,Maj-NL,Miami,16,62,53,10,13,2,0,3,7,8,0,14,1,0,0,3,1,0,0.245,0.355,0.453,0.808,465041,0.245
Yoenis C\xc3\xa9spedes,34,2126,Maj-NL,New York,8,34,31,3,5,1,0,2,4,2,0,15,1,0,0,1,0,0,0.161,0.235,0.387,0.622,493316,0.161
Yu Chang,24,2079,Maj-AL,Cleveland,10,13,11,1,2,0,0,0,1,2,0,4,0,0,0,2,0,0,0.182,0.308,0.182,0.49,644374,0.182
Matt Chapman,27,2090,Maj-AL,Oakland,37,152,142,22,33,9,2,10,25,8,0,54,1,0,1,2,0,0,0.232,0.276,0.535,0.812,656305,0.232
Michael Chavis,24,2069,Maj-AL,Boston,42,158,146,16,31,5,2,5,19,8,0,50,2,0,2,6,3,0,0.212,0.259,0.377,0.636,656308,0.212
Robinson Chirinos,36,2069,"Maj-AL,Maj-NL","New York,Texas",26,82,74,4,12,3,0,1,7,6,0,21,1,0,1,5,0,0,0.162,0.232,0.243,0.475,455139,0.162
Jazz Chisholm Jr.,22,2069,Maj-NL,Miami,21,62,56,8,9,1,1,2,6,5,0,19,1,0,0,0,2,2,0.161,0.242,0.321,0.563,665862,0.161
Jiman Choi,29,2084,Maj-AL,Tampa Bay,42,145,122,16,28,13,0,3,16,20,2,36,0,0,3,1,0,0,0.23,0.331,0.41,0.741,596847,0.23
Shin-Soo Choo,37,2069,Maj-AL,Texas,33,127,110,13,26,3,0,5,15,13,1,33,2,0,2,1,6,1,0.236,0.323,0.4,0.723,425783,0.236
Zack Collins,25,2108,Maj-AL,Chicago,9,18,16,1,1,1,0,0,0,2,0,5,0,0,0,0,0,0,0.063,0.167,0.125,0.292,641470,0.063
Christian Col\xc3\xb3n,31,2115,Maj-NL,Cincinnati,11,24,23,3,3,1,0,0,2,1,0,3,0,0,0,1,1,0,0.13,0.167,0.174,0.341,518568,0.13
Michael Conforto,27,2073,Maj-NL,New York,54,233,202,40,65,12,0,9,31,24,0,57,7,0,0,6,3,3,0.322,0.412,0.515,0.927,624424,0.322
William Contreras,22,2131,Maj-NL,Atlanta,4,10,10,0,4,1,0,0,1,0,0,4,0,0,0,0,0,0,0.4,0.4,0.5,0.9,661388,0.4
Willson Contreras,28,2070,Maj-NL,Chicago,57,225,189,37,46,10,0,7,26,20,1,57,14,0,2,6,1,1,0.243,0.356,0.407,0.763,575929,0.243
Garrett Cooper,29,2070,Maj-NL,Miami,34,133,120,20,34,8,0,6,20,11,0,31,2,0,0,5,0,0,0.283,0.353,0.5,0.853,643265,0.283
Ryan Cordell,28,2069,Maj-NL,New York,5,8,8,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0.125,0.125,0.125,0.25,641477,0.125
Franchy Cordero,25,2069,Maj-AL,Kansas City,16,42,38,7,8,3,0,2,7,4,0,4,0,0,0,1,1,0,0.211,0.286,0.447,0.733,614173,0.211
Carlos Correa,25,2069,Maj-AL,Houston,58,220,200,22,53,9,0,5,25,16,2,48,3,0,1,4,0,0,0.265,0.327,0.385,0.712,621043,0.265
Will Craig,25,2099,Maj-NL,Pittsburgh,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,643269,0.0
Brandon Crawford,33,2069,Maj-NL,San Francisco,54,193,172,26,44,12,0,8,28,15,2,47,4,0,2,3,1,2,0.256,0.326,0.465,0.792,543063,0.256
J.P. Crawford,25,2069,Maj-AL,Seattle,53,232,204,33,52,7,2,2,24,23,0,39,3,0,2,4,6,3,0.255,0.336,0.338,0.674,641487,0.255
C.J. Cron,30,2117,Maj-AL,Detroit,13,52,42,9,8,3,0,4,8,9,0,16,1,0,0,2,0,0,0.19,0.346,0.548,0.894,543068,0.19
Kevin Cron,27,2104,Maj-NL,Arizona,8,20,17,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0.0,0.15,0.0,0.15,605196,0.0
Jake Cronenworth,26,2069,Maj-NL,San Diego,54,192,172,26,49,15,3,4,20,18,0,30,1,0,1,4,3,1,0.285,0.354,0.477,0.831,630105,0.285
Nelson Cruz,39,2069,Maj-AL,Minnesota,53,214,185,33,56,6,0,16,33,25,5,58,4,0,0,8,0,0,0.303,0.397,0.595,0.992,443558,0.303
Charlie Culberson,31,2089,Maj-NL,Atlanta,9,7,7,2,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0.143,0.143,0.286,0.429,518586,0.143
Cheslor Cuthbert,27,2132,Maj-AL,Chicago,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,596144,0.0
Travis d\'Arnaud,31,2070,Maj-NL,Atlanta,44,184,165,19,53,8,0,9,34,16,0,50,2,0,1,8,1,0,0.321,0.386,0.533,0.919,518595,0.321
David Dahl,26,2076,Maj-NL,Colorado,24,99,93,9,17,2,2,0,9,4,0,28,1,0,1,0,1,0,0.183,0.222,0.247,0.47,621311,0.183
Bobby Dalbec,25,2069,Maj-AL,Boston,23,92,80,13,21,3,0,8,16,10,0,39,2,0,0,0,0,0,0.263,0.359,0.6,0.959,666915,0.263
Matt Davidson,29,2090,Maj-NL,Cincinnati,20,47,43,3,7,1,0,3,11,4,0,13,0,0,0,2,0,0,0.163,0.234,0.395,0.629,571602,0.163
Chris Davis,34,2085,Maj-AL,Baltimore,16,55,52,3,6,3,0,0,1,3,0,17,0,0,0,0,0,0,0.115,0.164,0.173,0.337,448801,0.115
J.D. Davis,27,2069,Maj-NL,New York,56,229,190,26,47,9,0,6,19,31,1,56,7,0,1,8,0,0,0.247,0.371,0.389,0.761,605204,0.247
Jaylin Davis,25,2130,Maj-NL,San Francisco,4,12,12,2,2,0,0,1,1,0,0,6,0,0,0,0,0,0,0.167,0.167,0.417,0.583,664041,0.167
Jonathan Davis,28,2069,Maj-AL,Toronto,13,34,27,4,7,2,0,1,6,3,0,11,2,0,1,1,1,0,0.259,0.364,0.444,0.808,641505,0.259
Khris Davis,32,2069,Maj-AL,Oakland,30,99,85,9,17,5,0,2,10,10,0,26,3,0,1,5,0,0,0.2,0.303,0.329,0.632,501981,0.2
Austin Dean,26,2083,Maj-NL,St. Louis,3,7,4,1,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0.25,0.571,0.5,1.071,621573,0.25
Paul DeJong,26,2069,Maj-NL,St. Louis,45,174,152,17,38,6,0,3,25,17,0,50,1,0,4,4,1,0,0.25,0.322,0.349,0.671,657557,0.25
Nicky Delmonico,27,2125,Maj-AL,Chicago,6,22,20,0,3,0,0,0,3,2,0,2,0,0,0,2,0,0,0.15,0.227,0.15,0.377,547170,0.15
Travis Demeritte,25,2079,Maj-AL,Detroit,18,33,29,5,5,1,0,0,4,3,0,14,1,0,0,0,0,0,0.172,0.273,0.207,0.48,641513,0.172
Delino DeShields,27,2069,Maj-AL,Cleveland,37,120,107,10,27,3,2,0,7,9,0,29,0,4,0,0,3,2,0.252,0.31,0.318,0.628,592261,0.252
Rafael Devers,23,2069,Maj-AL,Boston,57,248,232,32,61,16,1,11,43,13,0,67,3,0,0,8,0,0,0.263,0.31,0.483,0.793,646240,0.263
Aledmys D\xc3\xadaz,29,2069,Maj-AL,Houston,17,59,58,8,14,5,0,3,6,1,0,12,0,0,0,1,0,0,0.241,0.254,0.483,0.737,649557,0.241
Elias D\xc3\xadaz,29,2069,Maj-NL,Colorado,26,73,68,4,16,2,0,2,9,5,0,15,0,0,0,4,0,0,0.235,0.288,0.353,0.641,553869,0.235
Isan D\xc3\xadaz,24,2082,Maj-NL,Miami,7,22,22,3,4,0,0,0,1,0,0,7,0,0,0,0,0,0,0.182,0.182,0.182,0.364,656371,0.182
Lewin D\xc3\xadaz,23,2089,Maj-NL,Miami,14,41,39,2,6,2,0,0,3,2,0,12,0,0,0,2,0,0,0.154,0.195,0.205,0.4,650331,0.154
Yandy D\xc3\xadaz,28,2096,Maj-AL,Tampa Bay,34,138,114,16,35,3,0,2,11,23,1,17,1,0,0,6,0,0,0.307,0.428,0.386,0.814,650490,0.307
Alex Dickerson,30,2069,Maj-NL,San Francisco,52,169,150,28,45,10,1,10,27,16,2,29,2,0,1,5,0,0,0.3,0.373,0.58,0.953,543105,0.3
Corey Dickerson,31,2069,Maj-NL,Miami,52,210,194,25,50,5,1,7,17,15,1,35,0,0,0,5,1,0,0.258,0.311,0.402,0.713,572816,0.258
Derek Dietrich,30,2069,Maj-AL,Texas,25,75,61,9,12,1,0,5,8,9,0,21,5,0,0,4,1,0,0.197,0.347,0.459,0.806,518618,0.197
Wilmer Difo,28,2092,Maj-NL,Washington,12,18,14,1,1,0,0,0,1,3,0,4,0,0,1,0,0,0,0.071,0.222,0.071,0.294,594694,0.071
Brandon Dixon,28,2069,Maj-AL,Detroit,5,14,13,0,1,1,0,0,2,1,0,4,0,0,0,1,0,0,0.077,0.143,0.154,0.297,641525,0.077
Josh Donaldson,34,2071,Maj-AL,Minnesota,28,102,81,14,18,2,0,6,11,18,1,24,2,0,1,4,0,0,0.222,0.373,0.469,0.842,518626,0.222
Brian Dozier,33,2113,Maj-NL,New York,7,16,15,1,2,0,0,0,0,1,0,5,0,0,0,1,0,0,0.133,0.188,0.133,0.321,572821,0.133
Hunter Dozier,28,2069,Maj-AL,Kansas City,44,186,158,29,36,4,2,6,12,27,0,48,1,0,0,3,4,0,0.228,0.344,0.392,0.736,641531,0.228
Brandon Drury,27,2102,Maj-AL,Toronto,21,49,46,3,7,1,0,0,1,2,0,9,0,0,1,0,0,0,0.152,0.184,0.174,0.358,592273,0.152
Mauricio Dub\xc3\xb3n,25,2069,Maj-NL,San Francisco,54,177,157,21,43,4,1,4,19,15,0,36,1,1,2,4,2,2,0.274,0.337,0.389,0.726,643289,0.274
Steven Duggar,26,2069,Maj-NL,San Francisco,21,36,34,3,6,2,0,0,3,1,0,11,1,0,0,1,1,0,0.176,0.222,0.235,0.458,621453,0.176
Adam Duvall,31,2069,Maj-NL,Atlanta,57,209,190,34,45,8,0,16,33,15,0,54,3,0,1,2,0,0,0.237,0.301,0.532,0.833,594807,0.237
Jarrod Dyson,35,2072,"Maj-AL,Maj-NL","Chicago,Pittsburgh",32,66,61,9,11,0,0,0,5,4,0,11,0,1,0,0,6,0,0.18,0.231,0.18,0.411,502481,0.18
Adam Eaton,31,2080,Maj-NL,Washington,41,176,159,22,36,11,1,4,17,12,1,32,1,4,0,4,3,0,0.226,0.285,0.384,0.669,594809,0.226
Tommy Edman,25,2069,Maj-NL,St. Louis,55,227,204,29,51,7,1,5,26,16,0,48,5,0,2,5,2,4,0.25,0.317,0.368,0.685,669242,0.25
