Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Edward Cabrera,25,972,Maj-NL,Miami,22,20,7.0,7.0,,99.2,78,48,47,66,118,11,4,4.24,363,18,0,0,11,1,16,2,1,434,1803,0.59,0.16,0.12,0.56,0.15,0.07,1.445,0.285,10.7,1.79,665795
G\xc3\xa9nesis Cabrera,26,968,"Maj-AL,Maj-NL","St. Louis,Toronto",62,0,2.0,1.0,,56.1,49,28,25,24,60,8,2,3.99,213,13,0,3,4,1,5,0,0,241,959,0.64,0.14,0.14,0.39,0.23,0.08,1.296,0.281,9.6,2.5,650893
Kelvin C\xc3\xa1ceres,23,971,Maj-AL,Los Angeles,2,0,,,,1.1,2,1,1,2,1,0,0,6.75,5,0,0,0,0,0,0,0,0,8,36,0.53,0.11,0.11,0.8,0.0,0.0,3.0,0.5,6.8,0.5,680983
Blair Calvo,27,1094,Maj-NL,Colorado,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,3,11,0.45,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0,,663971
Isaiah Campbell,25,970,Maj-AL,Seattle,27,0,4.0,1.0,1.0,28.2,22,9,9,13,33,2,1,2.83,105,3,1,1,5,1,4,0,0,120,479,0.63,0.16,0.13,0.4,0.25,0.05,1.221,0.282,10.4,2.54,663462
Griffin Canning,27,974,Maj-AL,Los Angeles,24,22,7.0,8.0,,127.0,121,62,61,36,139,22,5,4.32,493,19,3,1,6,1,2,0,3,536,2177,0.65,0.17,0.13,0.43,0.21,0.06,1.236,0.297,9.9,3.86,656288
Yennier Cano,29,961,Maj-AL,Baltimore,74,0,1.0,4.0,8.0,74.0,62,20,18,14,65,4,3,2.19,272,17,0,2,9,0,7,1,0,290,1042,0.67,0.16,0.12,0.59,0.24,0.01,1.027,0.286,7.9,4.64,666974
Matt Carasiti,31,984,Maj-NL,Colorado,16,0,1.0,,1.0,24.1,28,19,17,11,16,3,1,6.29,96,4,0,0,2,2,1,0,0,110,411,0.62,0.2,0.1,0.56,0.23,0.01,1.603,0.316,5.9,1.45,571539
Drew Carlton,27,1063,Maj-NL,San Diego,11,0,2.0,1.0,,20.2,18,12,10,6,18,2,1,4.35,74,4,0,0,2,1,0,1,0,85,330,0.67,0.17,0.09,0.46,0.27,0.05,1.161,0.291,7.8,3.0,656290
Carlos Carrasco,36,1006,Maj-NL,New York,20,20,3.0,8.0,,90.0,115,71,68,38,66,18,6,6.8,371,24,2,0,6,2,12,1,4,417,1587,0.62,0.15,0.11,0.46,0.28,0.05,1.7,0.336,6.6,1.74,471911
Daniel Castano,28,990,Maj-NL,Miami,2,0,,,,3.0,7,8,7,3,4,2,0,21.0,17,0,1,0,0,0,0,0,0,20,69,0.59,0.22,0.07,0.62,0.08,0.0,3.333,0.455,12.0,1.33,641447
Diego Castillo,29,1131,Maj-AL,Seattle,8,0,,,,8.2,7,6,6,7,7,2,1,6.23,33,1,0,0,0,0,0,0,0,41,162,0.63,0.12,0.1,0.54,0.04,0.12,1.615,0.208,7.3,1.0,650895
Jos\xc3\xa9 Castillo,27,1059,Maj-NL,San Diego,1,0,,,,0.1,2,4,4,2,0,0,1,108.0,2,0,1,0,0,1,0,0,0,6,23,0.35,0.13,0.0,0.33,0.33,0.0,12.0,0.667,0.0,0.0,620454
Luis Castillo,30,971,Maj-AL,Seattle,33,33,14.0,9.0,,197.0,160,81,73,56,219,28,5,3.34,735,36,5,0,2,5,6,6,1,802,3208,0.67,0.14,0.15,0.39,0.24,0.09,1.096,0.268,10.0,3.91,622491
Max Castillo,24,1015,Maj-AL,Kansas City,7,0,,1.0,,20.1,20,10,10,9,10,2,3,4.43,75,4,1,1,3,1,3,0,0,89,343,0.63,0.14,0.07,0.42,0.27,0.07,1.426,0.281,4.4,1.11,666721
Harold Castro,29,1076,Maj-NL,Colorado,2,0,,,,2.0,4,2,2,1,0,0,1,9.0,9,1,0,0,1,0,0,0,0,11,29,0.59,0.1,0.1,0.33,0.22,0.0,2.5,0.444,0.0,0.0,605612
Miguel Castro,28,940,Maj-NL,Arizona,83,0,6.0,7.0,7.0,70.2,58,39,38,30,64,9,3,4.84,264,11,2,4,4,0,9,0,0,298,1118,0.64,0.18,0.12,0.46,0.27,0.07,1.245,0.257,8.2,2.13,612434
Willi Castro,26,997,Maj-AL,Minnesota,3,0,,,,2.1,3,3,3,2,0,0,0,11.57,8,0,0,0,1,1,0,0,0,11,36,0.47,0.08,0.0,0.56,0.22,0.0,2.143,0.333,0.0,0.0,650489
Dylan Cease,27,972,Maj-AL,Chicago,33,33,7.0,9.0,,177.0,172,98,90,79,214,19,9,4.58,689,32,9,3,6,6,13,2,3,784,3262,0.62,0.16,0.14,0.37,0.28,0.08,1.418,0.331,10.9,2.71,656302
Slade Cecconi,24,950,Maj-NL,Arizona,9,4,,1.0,,29.0,29,13,13,4,21,4,2,4.03,110,9,1,0,2,1,1,1,0,117,445,0.63,0.15,0.08,0.39,0.22,0.04,1.138,0.291,6.5,5.25,677944
Luis Cessa,31,1117,Maj-NL,Cincinnati,7,6,1.0,4.0,,26.0,46,26,26,12,11,3,1,9.0,116,11,2,0,5,2,0,0,0,132,464,0.63,0.16,0.06,0.38,0.38,0.07,2.231,0.413,3.8,0.92,570666
Andrew Chafin,33,970,Maj-NL,"Arizona,Milwaukee",63,0,3.0,4.0,8.0,51.1,45,30,27,28,63,6,1,4.73,195,11,3,0,5,0,2,2,0,224,921,0.6,0.17,0.13,0.4,0.27,0.08,1.422,0.31,11.0,2.25,605177
Aroldis Chapman,35,939,Maj-AL,"Kansas City,Texas",70,0,6.0,5.0,6.0,66.1,44,26,22,41,109,5,2,2.98,239,8,0,2,3,1,15,1,1,283,1137,0.63,0.18,0.17,0.48,0.24,0.08,1.281,0.31,14.8,2.66,547973
JT Chargois,32,967,Maj-NL,Miami,47,5,1.0,,1.0,43.0,36,17,17,19,35,3,0,3.56,154,14,0,2,7,3,5,1,1,178,710,0.6,0.2,0.08,0.54,0.22,0.03,1.279,0.277,7.3,1.84,608638
Jesse Chavez,39,970,Maj-NL,Atlanta,36,1,1.0,,1.0,34.2,26,10,6,12,39,2,3,1.56,128,4,1,0,3,1,3,1,0,144,581,0.64,0.22,0.1,0.52,0.28,0.08,1.096,0.273,10.1,3.25,445926
Yonny Chirinos,29,1013,"Maj-AL,Maj-NL","Atlanta,Tampa Bay",20,9,5.0,5.0,,85.0,91,53,51,27,53,15,5,5.4,331,22,1,0,9,3,3,1,1,367,1342,0.64,0.15,0.08,0.46,0.27,0.05,1.388,0.286,5.6,1.96,630023
Adam Cimber,32,1075,Maj-AL,Toronto,22,0,,2.0,1.0,20.2,25,18,17,7,12,6,4,7.4,83,2,0,0,4,1,2,1,0,95,372,0.66,0.19,0.06,0.49,0.25,0.04,1.548,0.288,5.2,1.71,643256
Jos\xc3\xa9 Cisnero,34,972,Maj-AL,Detroit,63,0,3.0,4.0,2.0,59.1,63,39,35,25,70,10,5,5.31,233,9,1,2,5,2,4,1,0,267,986,0.65,0.16,0.11,0.44,0.23,0.13,1.483,0.342,10.6,2.8,542585
Aaron Civale,28,972,Maj-AL,"Cleveland,Tampa Bay",23,23,7.0,5.0,,122.1,109,47,47,33,116,12,5,3.46,463,21,1,0,9,1,6,2,0,504,2009,0.66,0.19,0.1,0.4,0.24,0.09,1.161,0.289,8.5,3.52,650644
Taylor Clarke,30,970,Maj-AL,Kansas City,58,2,3.0,6.0,3.0,59.0,71,42,39,24,65,12,3,5.95,234,11,1,1,0,3,0,3,5,266,1068,0.65,0.15,0.13,0.32,0.25,0.11,1.61,0.369,9.9,2.71,664199
Emmanuel Clase,25,972,Maj-AL,Cleveland,75,0,3.0,9.0,44.0,72.2,68,37,26,16,64,4,1,3.22,281,12,0,2,5,3,10,0,0,302,1122,0.68,0.15,0.13,0.57,0.21,0.04,1.156,0.296,7.9,4.0,661403
Alex Claudio,31,1130,Maj-NL,Milwaukee,1,0,,,,0.1,2,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,3,4,1.0,0.25,0.0,0.0,1.0,0.0,6.0,0.667,0.0,,592222
Garrett Cleavinger,29,1117,Maj-AL,Tampa Bay,15,0,1.0,,,12.0,6,5,4,6,14,2,1,3.0,41,1,0,0,2,0,1,0,0,48,215,0.61,0.19,0.11,0.41,0.26,0.0,1.0,0.16,10.5,2.33,664076
Kody Clemens,27,1083,Maj-NL,Philadelphia,4,0,,,,2.2,4,1,1,3,1,0,0,3.38,12,0,0,0,0,0,0,0,0,15,41,0.56,0.22,0.0,0.27,0.45,0.0,2.625,0.364,3.4,0.33,665019
Ernie Clement,27,1074,Maj-AL,Toronto,1,0,,,,1.0,3,1,1,0,0,0,1,9.0,6,0,0,0,0,0,0,0,0,7,20,0.7,0.15,0.0,0.5,0.33,0.0,3.0,0.5,0.0,,676391
Mike Clevinger,32,971,Maj-AL,Chicago,24,24,9.0,9.0,,131.1,121,56,55,40,110,16,9,3.77,496,27,3,0,10,3,27,1,4,549,2097,0.66,0.17,0.1,0.31,0.23,0.12,1.226,0.282,7.5,2.75,605182
Alex Cobb,35,982,Maj-NL,San Francisco,28,28,7.0,7.0,,151.1,163,69,65,37,131,19,6,3.87,600,33,4,0,16,2,13,3,4,646,2505,0.64,0.19,0.09,0.58,0.24,0.02,1.322,0.319,7.8,3.54,502171
Gerrit Cole,32,974,Maj-AL,New York,33,33,15.0,4.0,,209.0,157,64,61,48,222,20,7,2.63,761,26,1,0,14,2,7,4,2,821,3282,0.66,0.16,0.12,0.4,0.25,0.07,0.981,0.263,9.6,4.63,543037
Dylan Coleman,26,1011,Maj-AL,Kansas City,23,1,,2.0,,18.1,18,19,18,19,21,3,5,8.84,69,3,0,1,2,3,4,0,0,96,383,0.55,0.18,0.11,0.35,0.31,0.12,2.018,0.313,10.3,1.11,669395
Alex Colom\xc3\xa9,34,1117,Maj-AL,Chicago,4,0,,1.0,,3.0,2,4,2,3,2,1,0,6.0,12,1,0,0,1,0,0,0,0,15,62,0.61,0.08,0.13,0.8,0.1,0.0,1.667,0.111,6.0,0.67,517008
Roansy Contreras,23,1058,Maj-NL,Pittsburgh,19,11,3.0,7.0,1.0,68.1,75,50,50,32,55,11,1,6.59,266,16,0,1,6,1,13,2,2,302,1141,0.64,0.17,0.12,0.39,0.25,0.07,1.566,0.318,7.2,1.72,672710
Sam Coonrod,30,989,Maj-NL,New York,10,0,,,,6.2,5,7,7,8,6,0,2,9.45,24,0,0,0,0,0,1,0,0,34,147,0.55,0.2,0.07,0.61,0.17,0.0,1.95,0.278,8.1,0.75,656322
Patrick Corbin,33,974,Maj-NL,Washington,32,32,10.0,15.0,,180.0,210,113,104,57,124,33,4,5.2,717,34,1,0,15,9,28,10,8,790,2925,0.62,0.16,0.09,0.45,0.24,0.05,1.483,0.311,6.2,2.18,571578
Jimmy Cordero,31,1061,Maj-AL,New York,31,1,3.0,2.0,,32.2,25,14,14,10,34,2,2,3.86,120,5,1,0,3,0,6,0,0,132,512,0.64,0.21,0.1,0.56,0.26,0.03,1.071,0.274,9.4,3.4,622772
Nestor Cortes,28,1027,Maj-AL,New York,12,12,5.0,2.0,,63.1,59,36,35,20,67,11,3,4.97,242,15,0,0,5,1,2,1,2,266,1068,0.66,0.16,0.1,0.26,0.22,0.16,1.247,0.291,9.5,3.35,641482
Tom Cosgrove,27,970,Maj-NL,San Diego,54,0,1.0,2.0,1.0,51.1,31,12,10,19,44,3,5,1.75,179,2,1,1,2,1,1,1,0,205,837,0.65,0.19,0.11,0.42,0.15,0.11,0.974,0.211,7.7,2.32,676680
Danny Coulombe,33,963,Maj-AL,Baltimore,63,0,5.0,3.0,2.0,52.1,45,17,16,13,59,4,2,2.75,198,6,0,0,1,0,11,2,0,214,848,0.64,0.17,0.13,0.46,0.15,0.12,1.108,0.304,10.1,4.54,543056
Jake Cousins,28,1090,Maj-NL,Milwaukee,9,0,,,,9.1,10,5,5,10,7,1,0,4.82,35,0,1,0,1,0,0,1,1,45,202,0.54,0.17,0.1,0.64,0.18,0.0,2.143,0.333,6.8,0.7,664776
Dylan Covey,31,974,Maj-NL,"Los Angeles,Philadelphia",29,1,1.0,3.0,,43.0,48,22,18,17,30,5,2,3.77,170,5,1,1,5,2,1,0,1,191,735,0.62,0.15,0.07,0.54,0.25,0.06,1.512,0.314,6.3,1.76,592229
Austin Cox,26,993,Maj-AL,Kansas City,24,3,,1.0,1.0,35.2,28,20,18,17,33,2,2,4.54,127,5,2,0,3,3,3,1,2,149,578,0.62,0.18,0.11,0.37,0.28,0.05,1.262,0.274,8.3,1.94,680735
Brandon Crawford,36,1082,Maj-NL,San Francisco,1,0,,,,1.0,1,0,0,1,0,0,0,0.0,4,0,0,0,0,0,0,0,0,5,20,0.45,0.05,0.05,0.25,0.0,0.25,2.0,0.25,0.0,0.0,543063
Kutter Crawford,27,971,Maj-AL,Boston,31,23,6.0,8.0,,129.1,107,59,58,36,135,17,5,4.04,484,26,2,0,9,2,8,2,1,527,2103,0.66,0.14,0.13,0.35,0.19,0.14,1.106,0.269,9.4,3.75,676710
Nabil Crismatt,28,1006,Maj-NL,"Arizona,San Diego",8,0,,2.0,,13.0,19,13,12,7,12,3,1,8.31,57,3,0,0,0,0,1,1,0,65,262,0.59,0.15,0.13,0.53,0.2,0.0,2.0,0.381,8.3,1.71,622503
Cooper Criswell,26,971,Maj-AL,Tampa Bay,10,0,1.0,1.0,,33.0,40,23,21,11,27,6,4,5.73,135,9,0,1,4,1,2,1,0,151,554,0.65,0.19,0.08,0.43,0.32,0.04,1.545,0.33,7.4,2.45,681867
Garrett Crochet,24,970,Maj-AL,Chicago,13,0,,2.0,,12.2,12,6,5,13,12,1,1,3.55,47,4,0,0,0,2,2,0,1,64,292,0.6,0.15,0.1,0.34,0.21,0.11,1.974,0.306,8.5,0.92,676979
Declan Cronin,25,970,Maj-AL,Chicago,9,0,,1.0,,11.0,11,12,11,7,8,3,2,9.0,42,1,0,0,2,0,1,1,0,51,193,0.6,0.17,0.07,0.53,0.32,0.06,1.636,0.258,6.5,1.14,686539
Wil Crowe,28,1137,Maj-NL,Pittsburgh,5,0,,1.0,1.0,9.2,9,6,5,9,9,1,1,4.66,37,3,0,1,1,0,0,0,0,47,179,0.58,0.15,0.1,0.39,0.5,0.04,1.862,0.296,8.4,1.0,640444
Fernando Cruz,33,971,Maj-NL,Cincinnati,58,2,1.0,2.0,,66.0,52,39,36,28,98,6,2,4.91,246,14,3,0,3,2,6,0,0,279,1122,0.63,0.14,0.16,0.3,0.28,0.07,1.212,0.319,13.4,3.5,518585
Steven Cruz,24,971,Maj-AL,Kansas City,10,4,,,,12.2,11,7,7,11,15,1,1,4.97,50,4,1,0,0,0,1,0,0,62,244,0.57,0.16,0.09,0.37,0.2,0.09,1.737,0.294,10.7,1.36,674444
Jose Cuas,29,972,"Maj-AL,Maj-NL","Chicago,Kansas City",72,2,3.0,2.0,1.0,65.1,63,30,29,35,71,8,7,3.99,249,10,2,0,8,1,4,2,0,292,1176,0.61,0.16,0.13,0.45,0.26,0.07,1.5,0.322,9.8,2.03,621016
Johnny Cueto,37,974,Maj-NL,Miami,13,10,1.0,4.0,,52.1,51,36,35,15,39,17,3,6.02,199,6,0,0,7,1,0,0,1,218,855,0.66,0.14,0.09,0.34,0.23,0.09,1.261,0.236,6.7,2.6,456501
Xzavion Curry,24,971,Maj-AL,Cleveland,41,9,3.0,4.0,,95.0,98,47,43,30,67,12,2,4.07,367,22,2,1,7,4,10,1,1,404,1496,0.65,0.16,0.09,0.32,0.26,0.09,1.347,0.295,6.3,2.23,675540
John Curtiss,30,1028,Maj-NL,New York,15,0,,,,19.2,17,10,10,8,16,3,0,4.58,72,2,0,0,1,1,3,0,0,81,301,0.6,0.15,0.1,0.4,0.16,0.07,1.271,0.259,7.3,2.0,595928
Tyler Cyr,30,1104,Maj-NL,Los Angeles,2,0,,,,1.2,1,0,0,0,2,0,0,0.0,6,0,0,0,0,0,0,0,0,6,26,0.69,0.12,0.15,0.75,0.0,0.0,0.6,0.25,10.8,,664202
Davis Daniel,26,972,Maj-AL,Los Angeles,3,0,1.0,1.0,,12.1,7,3,3,9,9,1,0,2.19,42,2,1,0,1,1,1,0,0,52,218,0.62,0.15,0.08,0.47,0.12,0.09,1.297,0.182,6.6,1.0,669721
Hagen Danner,24,1021,Maj-AL,Toronto,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,2,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,668470
Yu Darvish,36,1007,Maj-NL,San Diego,24,24,8.0,10.0,,136.1,134,71,69,43,141,18,8,4.56,517,25,2,0,12,6,17,4,0,574,2220,0.65,0.18,0.11,0.43,0.27,0.09,1.298,0.319,9.3,3.28,506433
Tucker Davidson,27,972,Maj-AL,"Kansas City,Los Angeles",38,1,1.0,2.0,2.0,51.1,64,37,34,19,46,6,3,5.96,209,18,0,2,6,1,10,0,0,236,848,0.64,0.18,0.11,0.46,0.23,0.05,1.617,0.367,8.1,2.42,656353
Zach Davies,30,975,Maj-NL,Arizona,18,18,2.0,5.0,,82.1,98,67,64,39,72,10,2,7.0,332,17,4,0,7,3,8,1,0,377,1498,0.59,0.18,0.08,0.44,0.26,0.05,1.664,0.348,7.9,1.85,605200
Noah Davis,26,974,Maj-NL,Colorado,8,6,,4.0,,30.0,43,30,29,15,26,6,4,8.7,126,6,0,0,3,1,3,2,1,146,601,0.62,0.15,0.08,0.48,0.22,0.09,1.933,0.389,7.8,1.73,663562
Enmanuel De Jesus,26,974,Maj-NL,Miami,2,0,,,,6.1,9,8,8,4,5,0,3,11.37,27,3,0,0,1,0,1,0,0,34,136,0.6,0.15,0.11,0.41,0.36,0.09,2.053,0.409,7.1,1.25,646241
Chase De Jong,29,1087,Maj-NL,Pittsburgh,6,0,,,,11.1,18,17,17,6,7,6,2,13.5,49,5,0,0,1,3,0,0,0,60,226,0.62,0.15,0.09,0.24,0.24,0.09,2.118,0.308,5.6,1.17,608328
Jos\xc3\xa9 De Le\xc3\xb3n,30,1074,Maj-AL,Minnesota,12,1,,1.0,,17.1,16,10,9,5,17,2,1,4.67,64,1,0,0,3,0,1,0,0,70,284,0.68,0.2,0.11,0.4,0.28,0.15,1.212,0.311,8.8,3.4,592254
Enyel De Los Santos,27,970,Maj-AL,Cleveland,70,0,5.0,2.0,,65.2,50,26,24,25,62,4,4,3.29,232,15,0,1,5,1,5,1,4,262,1051,0.64,0.15,0.13,0.4,0.27,0.04,1.142,0.275,8.5,2.48,660853
Yerry de los Santos,25,1025,Maj-NL,Pittsburgh,22,0,1.0,1.0,,24.1,17,10,9,13,18,1,1,3.33,88,4,1,3,3,2,2,1,0,104,397,0.63,0.17,0.07,0.56,0.19,0.04,1.233,0.225,6.7,1.38,660787
Jacob deGrom,35,1126,Maj-AL,Texas,6,6,2.0,,,30.1,19,11,9,4,45,2,0,2.67,111,7,2,0,0,0,5,1,0,115,451,0.67,0.16,0.2,0.38,0.21,0.11,0.758,0.266,13.4,11.25,594798
Matt Dermody,32,1085,Maj-AL,Boston,1,1,,1.0,,4.0,4,3,3,1,1,2,1,6.75,15,0,0,0,1,0,0,0,0,17,76,0.59,0.11,0.07,0.5,0.29,0.07,1.25,0.167,2.3,1.0,571616
Anthony DeSclafani,33,1040,Maj-NL,San Francisco,19,18,4.0,8.0,,99.2,105,59,54,20,79,15,4,4.88,388,25,1,0,6,3,8,3,2,419,1550,0.64,0.17,0.09,0.42,0.27,0.06,1.254,0.303,7.1,3.95,543101
Reid Detmers,23,975,Maj-AL,Los Angeles,28,28,4.0,10.0,,148.2,141,81,74,60,168,19,13,4.48,569,28,1,2,11,2,15,4,2,644,2600,0.64,0.15,0.12,0.37,0.29,0.06,1.352,0.318,10.2,2.8,672282
Chris Devenski,32,968,Maj-AL,"Los Angeles,Tampa Bay",39,0,6.0,4.0,,44.1,37,24,21,11,42,6,1,4.26,164,4,1,1,2,3,10,0,0,180,704,0.64,0.15,0.13,0.42,0.21,0.06,1.083,0.261,8.5,3.82,606965
Alexis D\xc3\xadaz,26,971,Maj-NL,Cincinnati,71,0,9.0,6.0,37.0,67.1,44,30,23,36,86,4,10,3.07,236,10,0,0,4,2,12,3,1,286,1164,0.6,0.13,0.15,0.4,0.21,0.12,1.188,0.27,11.5,2.39,664747
Jhonathan D\xc3\xadaz,26,979,Maj-AL,Los Angeles,4,1,,,,7.0,13,11,8,7,4,0,2,10.29,31,5,0,0,0,2,1,1,1,42,160,0.58,0.16,0.07,0.45,0.21,0.07,2.857,0.448,5.1,0.57,646242
Miguel D\xc3\xadaz,28,971,Maj-AL,Detroit,12,3,1.0,,,14.0,8,1,1,5,16,0,0,0.64,49,2,0,0,0,0,1,0,0,54,208,0.64,0.17,0.13,0.39,0.21,0.09,0.929,0.242,10.3,3.2,622766
Jake Diekman,36,968,Maj-AL,"Chicago,Tampa Bay",64,0,,2.0,,57.2,38,29,21,39,66,3,1,3.28,206,7,1,1,6,1,8,1,0,248,1017,0.61,0.2,0.1,0.46,0.2,0.08,1.335,0.254,10.3,1.69,518617
Brandon Dixon,31,1140,Maj-NL,San Diego,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,3,7,0.57,0.14,0.0,0.33,0.0,0.0,0.0,0.0,0.0,,641525
Dylan Dodd,25,970,Maj-NL,Atlanta,7,7,2.0,2.0,,34.1,53,29,29,12,15,9,1,7.6,151,13,0,1,2,0,2,1,0,164,568,0.7,0.16,0.09,0.36,0.24,0.06,1.893,0.346,3.9,1.25,689266
Seranthony Dom\xc3\xadnguez,28,950,Maj-NL,Philadelphia,63,0,5.0,5.0,2.0,55.1,54,26,21,25,55,7,6,3.42,217,4,0,0,3,2,4,0,1,250,948,0.62,0.12,0.13,0.42,0.24,0.11,1.428,0.299,8.9,2.2,622554
Josh Donaldson,37,1062,Maj-AL,New York,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,3,11,0.64,0.09,0.0,0.33,0.0,0.0,0.0,0.0,0.0,,518626
Camilo Doval,25,971,Maj-NL,San Francisco,69,0,6.0,6.0,39.0,67.2,51,32,22,26,87,3,8,2.93,244,10,0,6,6,2,12,5,0,281,1138,0.64,0.16,0.15,0.53,0.2,0.07,1.138,0.308,11.6,3.35,666808
Tommy Doyle,27,971,Maj-NL,Colorado,15,0,,1.0,,23.2,23,18,18,13,18,5,0,6.85,90,5,1,0,2,0,1,1,0,103,353,0.63,0.13,0.13,0.43,0.28,0.03,1.521,0.269,6.8,1.38,656382
Daniel Duarte,26,974,Maj-NL,Cincinnati,31,0,3.0,,1.0,31.2,24,14,13,20,23,5,1,3.69,114,2,0,0,4,1,2,2,1,136,572,0.62,0.14,0.1,0.5,0.15,0.12,1.389,0.218,6.5,1.15,650960
Shawn Dubin,27,1061,Maj-AL,Houston,3,1,,,,9.0,12,7,7,3,11,1,1,7.0,37,4,0,0,1,1,0,0,0,42,172,0.63,0.13,0.1,0.44,0.22,0.0,1.667,0.423,11.0,3.67,681869
Tyler Duffey,32,970,Maj-NL,Chicago,1,0,,,,2.0,1,1,1,0,3,1,0,4.5,7,0,0,0,0,0,0,0,0,7,31,0.61,0.16,0.1,0.0,0.0,0.5,0.5,0.0,13.5,,608648
Matt Duffy,32,1006,Maj-AL,Kansas City,2,0,,,,2.0,3,1,1,0,0,1,1,4.5,9,0,0,0,0,0,0,0,0,10,29,0.62,0.07,0.1,0.11,0.22,0.11,1.5,0.25,0.0,,622110
Dane Dunning,28,940,Maj-AL,Texas,40,26,13.0,8.0,,179.2,171,77,75,60,145,21,10,3.76,679,27,3,0,22,5,8,4,0,754,2830,0.65,0.18,0.1,0.48,0.22,0.06,1.286,0.29,7.3,2.42,641540
Jhoan Duran,25,960,Maj-AL,Minnesota,63,0,3.0,6.0,29.0,67.1,48,25,17,26,90,6,4,2.27,239,8,0,5,5,1,8,1,1,273,1075,0.65,0.14,0.17,0.65,0.16,0.03,1.099,0.292,12.0,3.46,661395
Nate Eaton,26,1144,Maj-AL,Kansas City,1,0,,,,1.0,2,0,0,0,1,0,0,0.0,5,0,0,0,0,0,0,0,0,5,22,0.59,0.09,0.09,0.75,0.25,0.0,2.0,0.5,9.0,,681987
Carl Edwards Jr.,31,1074,Maj-NL,Washington,32,0,1.0,3.0,2.0,31.2,31,14,13,17,24,1,1,3.69,124,8,1,2,3,0,2,0,0,142,565,0.62,0.15,0.1,0.45,0.28,0.04,1.516,0.303,6.8,1.41,605218
Zach Eflin,29,967,Maj-AL,Tampa Bay,32,32,16.0,9.0,,182.2,167,74,74,26,189,21,3,3.65,693,33,5,2,12,3,8,6,1,727,2653,0.69,0.19,0.11,0.5,0.21,0.07,1.057,0.3,9.3,7.27,621107
Bryce Elder,24,960,Maj-NL,Atlanta,32,32,12.0,5.0,,177.1,165,85,80,64,132,21,8,4.06,667,32,3,0,26,5,9,1,0,746,2905,0.63,0.16,0.1,0.5,0.24,0.05,1.291,0.277,6.7,2.06,693821
Mason Englert,23,1041,Maj-AL,Detroit,31,1,4.0,3.0,,56.0,67,39,34,17,41,12,2,5.46,230,14,2,0,4,2,7,0,0,253,961,0.65,0.14,0.11,0.4,0.24,0.05,1.5,0.307,6.6,2.41,669438
Nathan Eovaldi,33,939,Maj-AL,Texas,31,31,17.0,5.0,,180.2,148,71,70,57,173,18,7,3.49,659,30,6,1,21,3,13,4,1,730,2793,0.64,0.15,0.12,0.51,0.23,0.05,1.135,0.276,8.6,3.04,543135
Lucas Erceg,28,973,Maj-AL,Oakland,50,0,4.0,4.0,,55.0,51,33,29,36,68,1,6,4.75,208,18,1,1,7,1,0,1,3,251,1053,0.59,0.17,0.11,0.44,0.26,0.06,1.582,0.357,11.1,1.89,668674
Eduardo Escobar,34,986,Maj-AL,Los Angeles,3,0,,,,3.2,2,2,1,1,0,0,1,2.45,13,1,0,0,0,1,0,0,0,16,44,0.55,0.11,0.02,0.64,0.07,0.07,0.818,0.143,0.0,0.0,500871
Jose Espada,26,977,Maj-NL,San Diego,1,0,,,,1.0,0,0,0,2,2,0,0,0.0,3,0,0,0,0,0,0,0,0,5,25,0.44,0.08,0.24,1.0,0.0,0.0,2.0,0.0,18.0,1.0,664744
Paolo Espino,36,1045,Maj-NL,Washington,3,0,,,,4.0,14,11,11,3,3,1,0,24.75,24,2,0,0,1,1,0,0,0,28,101,0.57,0.18,0.05,0.23,0.59,0.0,4.25,0.619,6.8,1.0,502179
Joey Estes,21,974,Maj-AL,Oakland,2,2,,1.0,,10.0,12,9,8,2,7,4,3,7.2,42,3,0,1,2,0,1,0,0,47,165,0.68,0.16,0.15,0.29,0.23,0.14,1.4,0.258,6.3,3.5,683155
Carlos Est\xc3\xa9vez,30,974,Maj-AL,Los Angeles,63,0,5.0,5.0,31.0,62.1,62,34,27,31,78,7,5,3.9,244,10,0,5,3,0,2,0,0,281,1127,0.67,0.15,0.13,0.32,0.28,0.14,1.492,0.346,11.3,2.52,608032
Jeremiah Estrada,24,1082,Maj-NL,Chicago,12,0,,,,10.2,12,8,8,12,13,4,0,6.75,43,2,0,1,0,1,1,0,0,56,237,0.61,0.13,0.11,0.23,0.35,0.03,2.25,0.296,11.0,1.08,669093
Alex Faedo,27,988,Maj-AL,Detroit,15,12,2.0,5.0,,64.2,48,35,32,20,58,12,1,4.45,240,13,0,0,3,1,2,0,0,262,1034,0.65,0.17,0.1,0.36,0.23,0.1,1.052,0.211,8.1,2.9,656412
