entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Knapp, Andrew",595284,143,29,82.2,0.72,15,1.94,1.96,1.94,1,1.55,1.55,
"Brantly, Rob",542963,147,31,76.4,0.71,5,2.03,1.96,2.07,0,,,
"Sánchez, Gary",596142,147,28,84.9,0.74,25,1.95,1.96,1.94,5,1.48,1.45,1.49
"Kelly, Carson",608348,109,26,81.0,0.75,21,1.98,1.96,1.99,4,1.5,1.51,1.49
"Garneau, Dustin",572863,116,33,76.5,0.67,8,1.96,1.97,1.94,0,,,
"Fortes, Nick",663743,146,24,78.9,0.71,7,1.95,1.97,1.94,0,,,
"Severino, Pedro",600474,110,27,82.0,0.75,23,1.97,1.97,1.97,3,1.46,1.51,1.43
"Garcia, Aramis",605244,133,28,83.1,0.73,7,1.94,1.97,1.93,1,1.42,,1.42
"Stephenson, Tyler",663886,113,24,83.1,0.76,22,1.97,1.97,1.98,1,1.63,1.63,
"Kirk, Alejandro",672386,141,22,80.0,0.71,15,1.94,1.97,1.94,2,1.51,1.56,1.47
"Casali, Curt",592200,137,32,78.8,0.73,12,1.99,1.98,1.99,0,,,
"Torrens, Luis",620443,136,25,82.1,0.7,9,2.0,1.98,2.0,3,1.5,1.46,1.52
"Wallach, Chad",595453,146,29,80.7,0.69,7,1.96,1.98,1.95,0,,,
"Wynns, Austin",642851,110,30,77.4,0.69,19,1.97,1.98,1.97,0,,,
"Posey, Buster",457763,137,34,81.8,0.72,26,2.0,1.98,2.0,1,1.52,1.52,
"Vázquez, Christian",543877,111,30,78.8,0.69,43,1.98,1.98,1.98,1,1.51,1.51,
"Barnhart, Tucker",571466,113,30,78.5,0.7,34,1.99,1.98,1.99,0,,,
"Perez, Salvador",521692,118,31,81.7,0.71,28,1.97,1.98,1.96,4,1.55,1.43,1.59
"Gallagher, Cam",595956,118,28,78.1,0.73,14,2.03,1.99,2.05,2,1.61,,1.61
"Haase, Eric",606992,116,28,83.4,0.75,21,1.94,1.99,1.92,3,1.53,1.52,1.57
"Maldonado, Martín",455117,117,34,84.6,0.78,32,1.96,1.99,1.93,2,1.48,1.51,1.46
"Barrera, Tres",668663,120,26,78.0,0.69,9,1.99,1.99,1.99,0,,,
"Narváez, Omar",553882,158,29,78.5,0.71,47,2.0,1.99,2.01,1,1.68,1.68,
"Adams, Riley",656180,120,25,84.5,0.81,13,1.98,1.99,1.98,2,1.84,,1.84
"McCann, James",543510,121,31,80.3,0.73,35,2.01,2.0,2.01,4,1.55,1.55,1.58
"Jeffers, Ryan",680777,142,24,82.6,0.82,34,2.03,2.0,2.04,3,1.63,,1.63
"Rivera, René",425784,120,37,80.4,0.69,15,1.97,2.0,1.93,2,1.43,,1.43
"Heim, Jonah",641680,140,26,83.3,0.78,25,1.99,2.0,1.99,3,1.51,,1.51
"Stassi, Max",545358,108,30,78.5,0.74,25,2.02,2.0,2.03,6,1.52,1.52,1.52
"Wolters, Tony",547172,112,29,74.2,0.64,5,2.02,2.01,2.02,0,,,
"Suzuki, Kurt",435559,108,37,81.1,0.77,26,1.99,2.01,1.98,4,1.55,,1.55
"Smith, Will",669257,119,26,82.1,0.73,56,1.96,2.01,1.94,4,1.51,1.52,1.51
"Nola, Austin",543592,135,31,79.0,0.73,18,2.01,2.02,2.0,3,1.6,,1.6
"Ramos, Wilson",467092,114,33,78.5,0.74,12,2.01,2.02,2.0,1,1.57,,1.57
"Caratini, Victor",605170,135,27,79.0,0.75,28,2.02,2.02,2.03,2,1.62,,1.62
"Ruiz, Keibert",660688,120,22,77.4,0.78,6,2.09,2.04,2.1,2,1.65,1.65,1.64
"Garver, Mitch",641598,142,30,80.3,0.79,15,2.03,2.04,2.03,4,1.55,1.51,1.56
"Pérez, Michael",605421,134,28,82.4,0.79,19,1.96,2.05,1.93,0,,,
"Contreras, William",661388,144,23,81.1,0.76,11,2.01,2.05,2.0,1,1.58,,1.58
"Collins, Zack",641470,145,26,79.0,0.73,30,2.02,2.05,2.01,2,1.59,,1.59
"Avila, Alex",488671,120,34,76.7,0.72,9,2.0,2.07,1.97,0,,,
"Sisco, Chance",642082,121,26,76.0,0.77,9,2.08,2.07,2.08,0,,,
"Stallings, Jacob",607732,134,31,81.2,0.78,29,2.03,2.07,2.01,4,1.56,,1.56
"Vogt, Stephen",519390,144,36,73.1,0.71,18,2.09,2.07,2.09,5,1.54,1.58,1.53
"Murphy, Tom",608596,136,30,82.1,0.78,26,2.04,2.07,2.04,1,1.55,,1.55
"Grandal, Yasmani",518735,145,32,77.3,0.75,29,2.06,2.08,2.05,2,1.66,1.72,1.61
"d'Arnaud, Travis",518595,144,32,81.7,0.8,14,2.03,2.09,2.02,1,1.53,,1.53
"Barnes, Austin",605131,119,31,76.0,0.7,21,2.06,2.1,2.05,2,1.9,1.52,2.27
"Trevino, Jose",624431,140,28,74.5,0.72,29,2.08,2.11,2.07,4,1.55,1.6,1.53
"León, Sandy",506702,146,32,77.8,0.73,18,2.05,2.15,2.02,2,1.57,,1.57
"Mazeika, Patrick",664850,121,27,76.6,0.8,6,2.05,2.17,2.03,0,,,
"Zavala, Seby",664874,145,27,81.6,0.81,13,2.04,2.19,2.01,1,1.56,,1.56
"Plawecki, Kevin",608700,111,30,75.9,0.76,26,2.09,,2.09,1,1.64,,1.64
