entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Maldonado, Martín",455117,117,35,86.0,0.74,40,1.92,1.93,1.92,2,1.48,1.48,
"Contreras, Willson",575929,112,30,86.0,0.72,23,1.93,1.93,1.92,1,1.47,1.47,
"Melendez, MJ",669004,118,23,83.0,0.74,20,1.97,1.94,1.99,1,1.62,,1.62
"Higashioka, Kyle",543309,147,32,80.1,0.68,22,1.95,1.94,1.97,1,1.54,,1.54
"Serven, Brian",661531,115,27,81.6,0.76,27,2.0,1.94,2.02,5,1.54,1.49,1.58
"Hedges, Austin",595978,114,29,82.1,0.71,39,1.95,1.95,1.95,1,1.56,1.56,
"Haase, Eric",606992,116,29,83.2,0.73,29,1.95,1.95,1.94,1,1.52,,1.52
"Trevino, Jose",624431,147,29,77.8,0.67,29,1.99,1.95,2.01,1,1.54,,1.54
"Rutschman, Adley",668939,110,24,86.3,0.75,24,1.93,1.95,1.91,3,1.51,1.51,1.51
"Bemboom, Anthony",621532,110,32,82.5,0.74,5,1.99,1.95,2.0,0,,,
"Alfaro, Jorge",595751,135,29,88.2,0.74,16,1.89,1.95,1.88,3,1.5,,1.5
"Jansen, Danny",643376,141,27,82.2,0.73,22,1.98,1.96,1.98,1,1.63,,1.63
"Delay, Jason",641511,134,27,78.6,0.7,31,1.99,1.96,2.0,0,,,
"Maile, Luke",571912,114,31,83.4,0.74,31,1.96,1.96,1.96,4,1.54,1.57,1.52
"Herrera, Jose",645444,109,25,83.9,0.71,11,1.94,1.96,1.92,4,1.5,1.48,1.52
"Knapp, Andrew",595284,137,30,81.5,0.69,8,1.99,1.96,2.0,1,1.5,,1.5
"Adams, Riley",656180,120,26,85.6,0.76,15,1.95,1.96,1.95,0,,,
"Heineman, Tyler",623168,134,31,77.1,0.62,29,1.94,1.96,1.94,0,,,
"Varsho, Daulton",662139,109,25,78.9,0.68,12,1.96,1.96,1.96,0,,,
"Zavala, Seby",664874,145,28,82.2,0.74,14,1.97,1.97,1.97,3,1.58,1.55,1.59
"d'Arnaud, Travis",518595,144,33,82.2,0.76,36,1.99,1.97,2.0,2,1.61,1.57,1.65
"Kelly, Carson",608348,109,27,81.5,0.74,39,1.98,1.97,1.99,2,1.49,1.57,1.42
"León, Sandy",506702,142,33,78.1,0.66,14,1.98,1.97,1.98,0,,,
"McGuire, Reese",624512,111,27,80.2,0.66,34,1.97,1.97,1.97,1,1.5,,1.5
"Nido, Tomás",621512,121,28,77.4,0.63,30,1.96,1.97,1.95,3,1.53,,1.53
"Raleigh, Cal",663728,136,25,83.8,0.78,47,1.99,1.98,1.99,2,1.51,1.54,1.48
"Gomes, Yan",543228,112,34,79.4,0.68,28,1.97,1.98,1.96,3,1.53,1.58,1.43
"Nola, Austin",543592,135,32,81.4,0.73,36,2.01,1.98,2.01,5,1.62,1.49,1.65
"Jeffers, Ryan",680777,142,25,82.4,0.75,25,1.98,1.98,1.98,2,1.52,1.51,1.54
"Ruiz, Keibert",660688,120,23,79.0,0.71,46,2.0,1.99,2.01,3,1.58,1.63,1.5
"Kirk, Alejandro",672386,141,23,80.3,0.72,27,1.99,1.99,1.99,3,1.52,,1.52
"Casali, Curt",592200,136,33,78.3,0.72,13,2.01,1.99,2.01,1,1.71,,1.71
"Perez, Salvador",521692,118,32,82.9,0.69,18,1.99,1.99,1.99,4,1.48,1.48,1.49
"Bart, Joey",663698,137,25,82.4,0.76,22,1.97,1.99,1.97,1,1.73,1.73,
"Barnhart, Tucker",571466,116,31,79.3,0.68,38,1.99,1.99,1.98,2,1.62,1.54,1.7
"Heim, Jonah",641680,140,27,83.7,0.79,46,1.99,2.0,1.99,5,1.54,1.5,1.54
"Castro, Jason",488771,117,35,80.7,0.71,11,1.97,2.0,1.96,1,1.56,1.56,
"Narváez, Omar",553882,158,30,79.0,0.72,23,2.01,2.0,2.01,2,1.51,1.57,1.46
"Higgins, P.J.",664731,112,29,78.9,0.72,15,2.03,2.0,2.04,1,1.52,,1.52
"Stallings, Jacob",607732,146,32,82.0,0.75,43,2.0,2.0,2.0,0,,,
"Caratini, Victor",605170,158,28,79.8,0.74,34,2.01,2.0,2.02,1,1.58,,1.58
"Torrens, Luis",620443,136,26,82.3,0.74,20,2.0,2.02,1.99,3,1.57,,1.57
"Molina, Yadier",425877,138,39,79.9,0.77,19,2.05,2.03,2.06,1,1.95,1.95,
"Pérez, Michael",605421,121,29,83.5,0.8,12,2.0,2.03,1.99,0,,,
"Knizner, Andrew",668800,138,27,80.6,0.79,13,2.04,2.03,2.04,0,,,
"Nuñez, Dom",624513,115,27,76.4,0.8,6,2.11,2.03,2.12,0,,,
"Stassi, Max",545358,108,31,80.3,0.72,33,2.03,2.03,2.03,3,1.57,1.6,1.56
"Gallagher, Cam",595956,118,29,78.9,0.73,5,2.01,2.03,2.0,0,,,
"Chirinos, Robinson",455139,110,38,78.9,0.77,20,2.04,2.04,2.04,3,1.6,1.59,1.61
"Barnes, Austin",605131,119,32,75.6,0.68,17,2.06,2.04,2.07,2,1.61,,1.61
"Romine, Austin",519222,113,33,81.4,0.79,18,2.08,2.04,2.08,5,1.58,1.57,1.6
"Papierski, Michael",657709,113,26,78.1,0.77,21,2.08,2.04,2.08,1,1.6,,1.6
"McCann, James",543510,121,32,80.7,0.72,18,2.03,2.05,2.01,0,,,
"Collins, Zack",641470,134,27,78.4,0.73,6,2.03,2.05,2.01,0,,,
"Grandal, Yasmani",518735,145,33,76.5,0.75,29,2.09,2.06,2.1,3,1.64,1.67,1.62
"Zunino, Mike",572287,139,31,75.0,0.68,13,2.03,2.06,2.03,3,1.51,1.5,1.52
"Suzuki, Kurt",435559,108,38,80.2,0.79,16,2.07,2.07,2.07,1,1.63,,1.63
"Mazeika, Patrick",664850,121,28,76.4,0.71,7,2.05,2.09,2.04,1,1.7,,1.7
"Plawecki, Kevin",608700,140,31,75.9,0.75,29,2.11,2.1,2.11,0,,,
"Contreras, William",661388,144,24,81.9,0.7,18,1.97,2.1,1.95,2,1.52,1.53,1.5
"Vogt, Stephen",519390,133,37,72.3,0.68,7,2.12,2.14,2.11,2,1.58,1.57,1.6
"Wynns, Austin",642851,137,31,78.7,0.76,15,2.04,2.15,2.01,1,1.52,,1.52
"Barrera, Tres",668663,120,27,76.7,0.72,8,2.05,2.23,2.02,2,1.69,,1.69
"Garver, Mitch",641598,140,31,81.0,0.81,8,2.04,2.33,2.0,0,,,
"Huff, Sam",669087,140,24,88.1,0.83,11,2.0,,2.0,5,1.5,1.47,1.55
"Pinto, René",650907,139,25,83.4,0.72,5,1.89,,1.89,0,,,
