entity_name,entity_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
"Soderstrom, Tyler",691016,133,21,84.6,0.68,8,1.97,1.99,1.96,2,1.47,1.46,1.49
"McCann, James",543510,110,33,83.0,0.67,25,2.01,1.99,2.03,1,1.45,,1.45
"Knizner, Andrew",668800,138,28,79.6,0.67,33,2.01,1.99,2.01,1,1.54,,1.54
"Murphy, Tom",608596,136,32,82.6,0.72,11,2.05,2.0,2.05,0,,,
"Narváez, Omar",553882,121,31,77.7,0.62,25,2.0,2.01,2.0,3,1.53,1.49,1.54
"Sabol, Blake",666165,137,25,83.5,0.75,21,2.0,2.01,2.0,3,1.54,1.55,1.53
"Zunino, Mike",572287,114,32,76.6,0.63,33,2.04,2.01,2.04,1,1.54,,1.54
"Garver, Mitch",641598,140,32,81.4,0.72,11,2.0,2.02,2.0,0,,,
"Wallach, Chad",595453,108,31,82.0,0.67,18,1.99,2.02,1.98,1,1.56,,1.56
"Rortvedt, Ben",666163,147,25,87.8,0.73,8,1.95,2.03,1.9,0,,,
"Barnes, Austin",605131,119,33,75.4,0.59,29,2.01,2.04,2.0,1,1.46,,1.46
"Trevino, Jose",624431,147,30,76.8,0.64,18,1.99,2.04,1.97,4,1.53,1.57,1.5
"Barnhart, Tucker",571466,112,32,78.5,0.63,21,1.99,2.05,1.98,1,1.58,1.58,
"Ruiz, Keibert",660688,120,24,77.8,0.68,64,2.06,2.05,2.06,5,1.56,1.56,1.56
"Caratini, Victor",605170,158,29,78.5,0.71,31,2.06,2.07,2.06,1,1.59,,1.59
"Nido, Tomás",621512,121,29,77.2,0.57,6,1.99,2.08,1.97,0,,,
"Grandal, Yasmani",518735,145,34,77.8,0.68,69,2.08,2.1,2.07,6,1.64,1.73,1.63
"O'Hoppe, Logan",681351,108,23,81.9,0.73,20,2.09,2.42,2.07,3,1.63,,1.63
"Campusano, Luis",669134,135,24,83.5,0.65,10,1.97,,1.97,3,1.46,1.41,1.48
