year,mlbam_id,name_savant,name_human,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,snapshot_date
2022,808982,"Lee, Jung Hoo",Jung Hoo Lee,187,0.4385026737967914,0.5614973262032086,0.2085561497326203,0.3262032085561497,0.0267379679144385,0.3422459893048128,0.374331550802139,0.2834224598930481,0.1925133689839572,0.1711229946524064,0.0748663101604278,0.1497326203208556,0.2032085561497326,0.2085561497326203,2026-06-05
2022,646240,"Devers, Rafael",Rafael Devers,167,0.4431137724550898,0.5568862275449102,0.3173652694610778,0.1796407185628742,0.059880239520958,0.3053892215568862,0.4550898203592814,0.2395209580838323,0.1736526946107784,0.2215568862275449,0.0479041916167664,0.1317365269461078,0.2335329341317365,0.1916167664670658,2026-06-05
2022,701358,"Smith, Cam",Cam Smith,148,0.4594594594594595,0.5405405405405406,0.2567567567567567,0.2162162162162162,0.0675675675675675,0.3243243243243243,0.3783783783783784,0.2972972972972973,0.2027027027027027,0.1824324324324324,0.0743243243243243,0.1216216216216216,0.1959459459459459,0.2229729729729729,2026-06-05
2022,670623,"Paredes, Isaac",Isaac Paredes,171,0.2748538011695906,0.7251461988304093,0.3216374269005848,0.2573099415204678,0.1461988304093567,0.5555555555555556,0.239766081871345,0.2046783625730994,0.1812865497076023,0.0467836257309941,0.0467836257309941,0.3742690058479532,0.1929824561403508,0.1578947368421052,2026-06-05
2022,643446,"McNeil, Jeff",Jeff McNeil,165,0.4666666666666667,0.5333333333333333,0.1575757575757575,0.303030303030303,0.0727272727272727,0.4,0.3333333333333333,0.2666666666666666,0.2484848484848484,0.1575757575757575,0.0606060606060606,0.1515151515151515,0.1757575757575757,0.206060606060606,2026-06-05
2022,701762,"Kurtz, Nick",Nick Kurtz,137,0.4087591240875912,0.5912408759124088,0.2700729927007299,0.2700729927007299,0.0510948905109489,0.3211678832116788,0.3795620437956204,0.2992700729927007,0.2116788321167883,0.1313868613138686,0.0656934306569343,0.1094890510948905,0.2481751824817518,0.2335766423357664,2026-06-05
2022,667670,"Rooker, Brent",Brent Rooker,109,0.3577981651376147,0.6422018348623854,0.3944954128440367,0.2110091743119266,0.036697247706422,0.3761467889908257,0.3669724770642202,0.2568807339449541,0.1926605504587156,0.128440366972477,0.036697247706422,0.1834862385321101,0.2385321100917431,0.2201834862385321,2026-06-05
2022,645277,"Albies, Ozzie",Ozzie Albies,218,0.3669724770642202,0.6330275229357798,0.3119266055045872,0.2431192660550458,0.0779816513761468,0.4311926605504587,0.3394495412844037,0.2293577981651376,0.1834862385321101,0.1513761467889908,0.0321100917431192,0.2477064220183486,0.1880733944954128,0.1972477064220183,2026-06-05
2022,573262,"Yastrzemski, Mike",Mike Yastrzemski,115,0.408695652173913,0.591304347826087,0.2782608695652174,0.2521739130434782,0.0608695652173913,0.4695652173913043,0.2869565217391304,0.2434782608695652,0.2608695652173913,0.1130434782608695,0.0347826086956521,0.208695652173913,0.1739130434782608,0.208695652173913,2026-06-05
2022,691785,"Mayer, Marcelo",Marcelo Mayer,133,0.5112781954887218,0.4887218045112781,0.2706766917293233,0.1578947368421052,0.0601503759398496,0.3684210526315789,0.3609022556390977,0.2706766917293233,0.2706766917293233,0.1804511278195488,0.0601503759398496,0.0977443609022556,0.1804511278195488,0.2105263157894736,2026-06-05
2022,680776,"Duran, Jarren",Jarren Duran,158,0.4493670886075949,0.550632911392405,0.2088607594936709,0.2215189873417721,0.120253164556962,0.4367088607594936,0.3417721518987341,0.2215189873417721,0.2658227848101265,0.1455696202531645,0.0379746835443038,0.1708860759493671,0.1962025316455696,0.1835443037974683,2026-06-05
2022,668939,"Rutschman, Adley",Adley Rutschman,143,0.3706293706293706,0.6293706293706294,0.3076923076923077,0.2727272727272727,0.0489510489510489,0.3706293706293706,0.4055944055944055,0.2237762237762237,0.1748251748251748,0.1468531468531468,0.0489510489510489,0.1958041958041958,0.2587412587412587,0.1748251748251748,2026-06-05
2022,621493,"Ward, Taylor",Taylor Ward,172,0.4011627906976744,0.5988372093023255,0.2732558139534883,0.2732558139534883,0.0523255813953488,0.2906976744186046,0.436046511627907,0.2732558139534883,0.1744186046511628,0.1802325581395348,0.0465116279069767,0.1162790697674418,0.2558139534883721,0.2267441860465116,2026-06-05
2022,669236,"Jackson, Jeremiah",Jeremiah Jackson,134,0.5298507462686567,0.4701492537313433,0.2462686567164179,0.1791044776119403,0.044776119402985,0.4328358208955223,0.3358208955223881,0.2313432835820895,0.2835820895522388,0.2014925373134328,0.044776119402985,0.1492537313432835,0.1343283582089552,0.1865671641791045,2026-06-05
2022,694212,"Basallo, Samuel",Samuel Basallo,124,0.3870967741935484,0.6129032258064515,0.2580645161290322,0.2903225806451613,0.064516129032258,0.4032258064516129,0.3790322580645161,0.2177419354838709,0.2258064516129032,0.1290322580645161,0.032258064516129,0.1774193548387096,0.25,0.1854838709677419,2026-06-05
2022,663743,"Fortes, Nick",Nick Fortes,122,0.5573770491803278,0.4426229508196722,0.1557377049180328,0.180327868852459,0.1065573770491803,0.5081967213114754,0.3442622950819672,0.1475409836065573,0.319672131147541,0.180327868852459,0.0573770491803278,0.1885245901639344,0.1639344262295081,0.0901639344262295,2026-06-05
2022,656775,"Mullins, Cedric",Cedric Mullins,146,0.273972602739726,0.7260273972602739,0.3287671232876712,0.2123287671232876,0.184931506849315,0.4452054794520548,0.3150684931506849,0.2397260273972602,0.1438356164383561,0.0890410958904109,0.0410958904109589,0.3013698630136986,0.2260273972602739,0.1986301369863013,2026-06-05
2022,680700,"Palacios, Richie",Richie Palacios,89,0.4382022471910112,0.5617977528089888,0.1797752808988764,0.2584269662921348,0.1235955056179775,0.3258426966292135,0.4269662921348314,0.247191011235955,0.1348314606741573,0.2247191011235955,0.0786516853932584,0.1910112359550562,0.2022471910112359,0.1685393258426966,2026-06-05
2022,686527,"Canzone, Dominic",Dominic Canzone,101,0.4059405940594059,0.5940594059405941,0.2772277227722772,0.2673267326732673,0.0495049504950495,0.4356435643564356,0.3366336633663366,0.2277227722772277,0.2079207920792079,0.1584158415841584,0.0396039603960396,0.2277227722772277,0.1782178217821782,0.1881188118811881,2026-06-05
2022,545121,"Vargas, Ildemaro",Ildemaro Vargas,193,0.4352331606217616,0.5647668393782384,0.1865284974093264,0.2746113989637305,0.1036269430051813,0.4715025906735751,0.3730569948186528,0.155440414507772,0.2487046632124352,0.1502590673575129,0.0362694300518134,0.2227979274611399,0.2227979274611398,0.1191709844559585,2026-06-05
